Task,Language,Type,Pass@k Score
Task 93,Unknown,Adaptive,0.83
Task 94,Unknown,Original,0.61
Task 94,Unknown,Adaptive,0.69
Task 95,PLC,Original,0.8
Task 95,PLC,Adaptive,0.88
Task 96,Unknown,Original,0.86
Task 96,Unknown,Adaptive,0.92
Task 97,PLC,Original,0.77
Task 97,PLC,Adaptive,0.87
Task 98,PLC,Original,0.61
Task 98,PLC,Adaptive,0.69
Task 99,Unknown,Original,0.62
Task 99,Unknown,Adaptive,0.66
Task 100,MATLAB,Original,0.7
Task 100,MATLAB,Adaptive,0.8
